systemnr,stednr,loknr,sbext,frednr,stednavn,stednavnsbetydning,anlnr,anlaegstype,anlaegsbetydning,dateringskode,datering,fra_aar,til_aar,kommunenavn,kommunenr,sevaerdighedsklasse,url,x,y
122381,070502,4,,44216,Torpe Skov,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122381/              ,11.1801907406057,54.8215252707586
122382,070502,5,,44213,Torpe Skov,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122382/              ,11.1797778981011,54.821892332466
122383,070502,7,,44211,Torpe Skov,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122383/              ,11.1784914893647,54.8211945272023
122385,070502,6,,44212,Torpe Skov,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122385/              ,11.1788649197268,54.8214078698214
122386,070502,11,,442120,Torpe Skov,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122386/              ,11.1788193321152,54.8211134939191
122387,070502,14,,442124,Torpe Skov,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122387/              ,11.1794179516511,54.8217705267728
122388,070502,15,,442122,Torpe Skov,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122388/              ,11.1791337004785,54.8217563057755
122389,070502,16,,442123,Torpe Skov,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122389/              ,11.1793459394429,54.8215752335614
122453,070513,1,,45201,Rudbjerggaard,"Ejendom, gård, hus",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122453/              ,11.0965861058252,54.7409351679526
122454,070513,2,,45202,Rudbjerggaard,"Ejendom, gård, hus",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122454/              ,11.0965496390314,54.7410532824135
122455,070513,3,,45203,Rudbjerggaard,"Ejendom, gård, hus",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122455/              ,11.0964645881192,54.7408264375088
122456,070513,4,,45204,Rudbjerggaard,"Ejendom, gård, hus",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122456/              ,11.096254373536,54.7408563201384
122457,070513,5,,45205,Vindeholme Skov,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122457/              ,11.0962631826708,54.740975718996
122458,070513,6,,45206,Vindeholme Skov,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122458/              ,11.096215539732,54.741072992792
122459,070513,7,,45207,Vindeholme Skov,"Landskab, herunder vådområde",1,01092,Rundhøj,OXXX,Oldtid,-250000,1066,Lolland,360,1,http://www.kulturarv.dk/fundogfortidsminder/Lokalitet/122459/              ,11.0960626694796,54.7408836351369
